Feature,Importance,timestamp
cat__country_Spain,0.03346262,2025-05-12 22:09:03
cat__country_Morocco,0.0329022,2025-05-12 22:09:03
cat__country_China,0.03260344,2025-05-12 22:09:03
cat__country_Turkey,0.030821098,2025-05-12 22:09:03
cat__country_Thailand,0.030079303,2025-05-12 22:09:03
cat__country_Brazil,0.029489258,2025-05-12 22:09:03
cat__country_USA,0.02829918,2025-05-12 22:09:03
cat__country_France,0.02573228,2025-05-12 22:09:03
cat__product_description_Live ornamental plants,0.023370659,2025-05-12 22:09:03
cat__country_India,0.02315011,2025-05-12 22:09:03
cat__country_Canada,0.021041885,2025-05-12 22:09:03
cat__product_description_Fresh Atlantic salmon fillets,0.015076312,2025-05-12 22:09:03
cat__product_description_Cocoa powder,0.010563605,2025-05-12 22:09:03
cat__product_description_Animal feed mixture,0.010535473,2025-05-12 22:09:03
cat__product_description_Fresh bananas,0.010502695,2025-05-12 22:09:03
cat__product_description_Refined cane sugar,0.010213311,2025-05-12 22:09:03
cat__product_description_Vegetable cooking oil (sunflower),0.009734092,2025-05-12 22:09:03
cat__product_description_Roasted coffee beans,0.009418702,2025-05-12 22:09:03
cat__product_description_Frozen shrimp tails,0.006383526,2025-05-12 22:09:03
cat__product_description_Dried fish flakes,0.005078889,2025-05-12 22:09:03
num__expected_tax_rate,0.004736414,2025-05-12 22:09:03
num__declared_code,0.004385765,2025-05-12 22:09:03
cat__importer_Importer_35,0.0032871515,2025-05-12 22:09:03
cat__importer_Importer_963,0.0032341115,2025-05-12 22:09:03
cat__importer_Importer_164,0.002921608,2025-05-12 22:09:03
cat__importer_Importer_1000,0.0028974423,2025-05-12 22:09:03
cat__importer_Importer_885,0.0028316465,2025-05-12 22:09:03
cat__importer_Importer_830,0.0027714442,2025-05-12 22:09:03
cat__importer_Importer_583,0.0027425196,2025-05-12 22:09:03
cat__importer_Importer_768,0.002693139,2025-05-12 22:09:03
cat__importer_Importer_384,0.0025762452,2025-05-12 22:09:03
cat__importer_Importer_391,0.0025728408,2025-05-12 22:09:03
